pair_id,candidate_a,geometry_a,candidate_b,geometry_b
PAIR_6139C2AB7E02,CAND_9ACFDF7C3BDBA92B,geometry/CAND_9ACFDF7C3BDBA92B.npz,CAND_CF47F127AA64D9CF,geometry/CAND_CF47F127AA64D9CF.npz
PAIR_0A47704A1763,CAND_44E9417BD7AD5C73,geometry/CAND_44E9417BD7AD5C73.npz,CAND_D6C98366A6145802,geometry/CAND_D6C98366A6145802.npz
PAIR_71FA81550812,CAND_1CAF4E64BDE0CFD6,geometry/CAND_1CAF4E64BDE0CFD6.npz,CAND_528A38917B809D89,geometry/CAND_528A38917B809D89.npz
PAIR_2293F329976B,CAND_42FBD6BFB95A0F6A,geometry/CAND_42FBD6BFB95A0F6A.npz,CAND_13C47FAF6AA6B3AF,geometry/CAND_13C47FAF6AA6B3AF.npz
PAIR_E8B56B89465C,CAND_127A755844CEF1C1,geometry/CAND_127A755844CEF1C1.npz,CAND_528A38917B809D89,geometry/CAND_528A38917B809D89.npz
PAIR_B53FDB3573EF,CAND_528A38917B809D89,geometry/CAND_528A38917B809D89.npz,CAND_E95D5789AA9AB6CD,geometry/CAND_E95D5789AA9AB6CD.npz
PAIR_17944610BD23,CAND_267D957C79B80846,geometry/CAND_267D957C79B80846.npz,CAND_CF47F127AA64D9CF,geometry/CAND_CF47F127AA64D9CF.npz
PAIR_2941E29156C0,CAND_DADDC9F39374ADC6,geometry/CAND_DADDC9F39374ADC6.npz,CAND_3439289D79F00400,geometry/CAND_3439289D79F00400.npz
PAIR_A423596DA8B1,CAND_C4DE0FC52F741559,geometry/CAND_C4DE0FC52F741559.npz,CAND_C579B5FBEA43C9F3,geometry/CAND_C579B5FBEA43C9F3.npz
PAIR_9EE1297BD8ED,CAND_4C27EBFF99A0A399,geometry/CAND_4C27EBFF99A0A399.npz,CAND_CF47F127AA64D9CF,geometry/CAND_CF47F127AA64D9CF.npz
PAIR_702BF5DDB444,CAND_370DD0D9EE7E6EDC,geometry/CAND_370DD0D9EE7E6EDC.npz,CAND_8624C05CC4A4D33B,geometry/CAND_8624C05CC4A4D33B.npz
PAIR_75165C8BA887,CAND_D6C98366A6145802,geometry/CAND_D6C98366A6145802.npz,CAND_3901C1356E0AC1F5,geometry/CAND_3901C1356E0AC1F5.npz
PAIR_7EA0F3BFAAEE,CAND_3D06B18729914AD3,geometry/CAND_3D06B18729914AD3.npz,CAND_370DD0D9EE7E6EDC,geometry/CAND_370DD0D9EE7E6EDC.npz
PAIR_B10BBE5C1986,CAND_528A38917B809D89,geometry/CAND_528A38917B809D89.npz,CAND_4C29623F8384DD3B,geometry/CAND_4C29623F8384DD3B.npz
PAIR_91B339182FA9,CAND_F7ADED12DE7F9DA3,geometry/CAND_F7ADED12DE7F9DA3.npz,CAND_DADDC9F39374ADC6,geometry/CAND_DADDC9F39374ADC6.npz
PAIR_A48345DF8D87,CAND_A840D0D0AC80CA6B,geometry/CAND_A840D0D0AC80CA6B.npz,CAND_BE1BB5BCD2F452EE,geometry/CAND_BE1BB5BCD2F452EE.npz
PAIR_82911D1E6B47,CAND_765205D1B75FAA76,geometry/CAND_765205D1B75FAA76.npz,CAND_370DD0D9EE7E6EDC,geometry/CAND_370DD0D9EE7E6EDC.npz
PAIR_749E33599638,CAND_BB2BAA2B72FFCFC8,geometry/CAND_BB2BAA2B72FFCFC8.npz,CAND_DADDC9F39374ADC6,geometry/CAND_DADDC9F39374ADC6.npz
PAIR_1DE39BC4C420,CAND_C579B5FBEA43C9F3,geometry/CAND_C579B5FBEA43C9F3.npz,CAND_BDE45876F25D181C,geometry/CAND_BDE45876F25D181C.npz
PAIR_B093C1322C3C,CAND_1E51CE68F5DE6FFD,geometry/CAND_1E51CE68F5DE6FFD.npz,CAND_CF47F127AA64D9CF,geometry/CAND_CF47F127AA64D9CF.npz
PAIR_92307B7CDF3C,CAND_CF47F127AA64D9CF,geometry/CAND_CF47F127AA64D9CF.npz,CAND_CF1D699BD7F26264,geometry/CAND_CF1D699BD7F26264.npz
PAIR_32D42CE2EDE9,CAND_370DD0D9EE7E6EDC,geometry/CAND_370DD0D9EE7E6EDC.npz,CAND_1B9D600A9A065765,geometry/CAND_1B9D600A9A065765.npz
PAIR_DBDD625276E9,CAND_35D9EAEF3FCF212C,geometry/CAND_35D9EAEF3FCF212C.npz,CAND_528A38917B809D89,geometry/CAND_528A38917B809D89.npz
PAIR_39262F557060,CAND_C579B5FBEA43C9F3,geometry/CAND_C579B5FBEA43C9F3.npz,CAND_6410E728079E9FD1,geometry/CAND_6410E728079E9FD1.npz
PAIR_BD057EFC4067,CAND_D6C98366A6145802,geometry/CAND_D6C98366A6145802.npz,CAND_2AE2CF665B527776,geometry/CAND_2AE2CF665B527776.npz
PAIR_942F3EBA7EB3,CAND_74C9664B968212EE,geometry/CAND_74C9664B968212EE.npz,CAND_A840D0D0AC80CA6B,geometry/CAND_A840D0D0AC80CA6B.npz
PAIR_22DE492879C1,CAND_7284AF00034AD237,geometry/CAND_7284AF00034AD237.npz,CAND_A840D0D0AC80CA6B,geometry/CAND_A840D0D0AC80CA6B.npz
PAIR_7CC916CAFF1D,CAND_A840D0D0AC80CA6B,geometry/CAND_A840D0D0AC80CA6B.npz,CAND_8CBBC79A24B38558,geometry/CAND_8CBBC79A24B38558.npz
PAIR_A4638705A39A,CAND_42FBD6BFB95A0F6A,geometry/CAND_42FBD6BFB95A0F6A.npz,CAND_4318A1588A5FFFAD,geometry/CAND_4318A1588A5FFFAD.npz
