blind_id,gate,status,metric,threshold,details_json
B41BDFB786E17DC02,G1_REPARAM,PASS,0.007239983855794294,0.08,"{""status"":""PASS"",""metric"":0.007239983855794294,""threshold"":0.08,""details"":{""cyclic"":1.5166138603949061e-06,""reverse"":1.5076803978880161e-06,""distorted"":0.007239983855794294},""observables"":{""length"":3.1546999647287377,""thickness"":0.061465117558123096,""ropelength"":51.32504565285452,""int_kappa2"":12.532234068971182,""int_tau2"":0.0,""writhe"":0.0}}"
B41BDFB786E17DC02,G2_PHASE,PASS,5.143516556418883e-16,0.08,"{""status"":""PASS"",""metric"":5.143516556418883e-16,""threshold"":0.08,""gauge_residual_rad"":5.143516556418883e-16,""holonomy_n_rad"":0.0,""holonomy_n2_rad"":0.0,""holonomy_conv_rad"":0.0,""physical_phase_lock_status"":""UNTESTED"",""phase_lock_residual_rad"":null,""note"":""Static centerlines test candidate geometric phase consistency; they do not measure a physical SST phase clock.""}"
B41BDFB786E17DC02,G3_REDUNDANCY,PASS,1.545126913321525e-16,0.05,"{""status"":""PASS"",""metric"":1.545126913321525e-16,""threshold"":0.05,""details"":{""total_derivative_kappa"":5.926483768102893e-18,""total_derivative_tau"":0.0,""ibp_kappa"":1.545126913321525e-16,""ibp_tau"":0.0},""operators"":{""O_k2"":12.532234068971182,""O_t2"":0.0,""O_k4"":49.87296612503908,""O_dk2"":5.748255447773077,""O_dt2"":0.0,""O_k2t2"":0.0},""note"":""Total-derivative/IBP gate only; full EOM/field-redefinition redundancy needs an explicit leading SST action.""}"
B41BDFB786E17DC02,G4_DISPERSION,PASS,0.0455412251120298,0.35,"{""status"":""PASS"",""metric"":0.0455412251120298,""threshold"":0.35,""mode_rows"":[{""mode"":2,""n_points"":128,""q_core"":0.24483895639088,""omega_core"":0.029058157397471737,""omega2_core"":0.0008443765113362415,""growth_core"":-1.577117910433723e-18,""frequency_source"":""projected_linear_operator"",""track_omega_core"":0.02435194785783802,""track_growth_core"":-0.004967697843669146,""phase_r2"":0.07755385796599923,""n_steps"":16,""dt_core"":0.001875,""t_final_core"":0.03,""omega_rad_s"":2.2559128051005243e+19,""frequency_hz"":3.590396741160519e+18,""linear_eigenvalues"":[[1.576906384216679e-18,0.02905435026546935],[1.576906384216679e-18,-0.02905435026546935],[-1.577117910433723e-18,0.029058157397471737],[-1.577117910433723e-18,-0.029058157397471737]],""linear_matrix"":[[0.0,0.0,0.018639840250944714,-1.1761935400238532e-06],[0.0,0.0,-1.1761915347449113e-06,0.018640978817643143],[-0.04529102395823687,2.4774569774965384e-06,0.0,0.0],[2.477464283872217e-06,-0.04529345436917262,0.0,0.0]]},{""mode"":3,""n_points"":128,""q_core"":0.36725843458631996,""omega_core"":0.04583220719964617,""omega2_core"":0.002100591216791298,""growth_core"":-4.4745238062592185e-19,""frequency_source"":""projected_linear_operator"",""track_omega_core"":-0.035989472053113106,""track_growth_core"":-0.005646618262619528,""phase_r2"":0.7971444905659706,""n_steps"":16,""dt_core"":0.001875,""t_final_core"":0.03,""omega_rad_s"":3.558156206996738e+19,""frequency_hz"":5.662981486366399e+18,""linear_eigenvalues"":[[-4.4745238062592185e-19,0.04583220719964617],[-4.4745238062592185e-19,-0.04583220719964617],[4.478728067637741e-19,0.04582750979631003],[4.478728067637741e-19,-0.04582750979631003]],""linear_matrix"":[[0.0,0.0,0.0338355666520046,3.228085418120418e-07],[0.0,0.0,3.2280949365297005e-07,0.03383412897699349],[-0.06208177248324787,-2.038628688213691e-06,0.0,0.0],[-2.038626602143876e-06,-0.062072823577121725,0.0,0.0]]},{""mode"":4,""n_points"":128,""q_core"":0.48967791278176,""omega_core"":0.05489474111758803,""omega2_core"":0.0030134326023670104,""growth_core"":0.0,""frequency_source"":""projected_linear_operator"",""track_omega_core"":-0.0658398668601527,""track_growth_core"":-0.0074113248767136665,""phase_r2"":0.9623298372483,""n_steps"":16,""dt_core"":0.001875,""t_final_core"":0.03,""omega_rad_s"":4.261720649590117e+19,""frequency_hz"":6.782739074590703e+18,""linear_eigenvalues"":[[-2.98593184191174e-19,0.05489292934451607],[-2.98593184191174e-19,-0.05489292934451607],[0.0,0.05489474111758803],[0.0,-0.05489474111758803]],""linear_matrix"":[[0.0,0.0,0.042135506296852664,1.5067247911745356e-08],[0.0,0.0,1.506087909341413e-08,0.04213520940363868],[-0.07151294074423085,2.0033717905926167e-07,0.0,0.0],[2.00343628702657e-07,-0.07151815244330682,0.0,0.0]]}],""dispersion"":{""n_good"":3,""status"":""OK"",""a2"":0.01756482769306167,""a4"":-0.02042209874120562,""rel_rmse"":0.0455412251120298,""r2"":0.987578790056292},""core_radius_coord_used"":0.061465117558123096,""note"":""Regularized finite-core Biot-Savart closure; not full Euler and not the entire SST canon.""}"
B41BDFB786E17DC02,T_CONV,SKIP,,,"{""status"":""SKIP""}"
B41BDFB786E17DC02,S_CONV,SKIP,,,"{""status"":""SKIP""}"
B6F290645DB32BFCE,G1_REPARAM,FAIL,0.2878105283361395,0.08,"{""status"":""FAIL"",""metric"":0.2878105283361395,""threshold"":0.08,""details"":{""cyclic"":0.029731065432021204,""reverse"":0.03672449138238765,""distorted"":0.2878105283361395},""observables"":{""length"":45.95883355187968,""thickness"":0.5000330476496448,""ropelength"":91.91159217956606,""int_kappa2"":47.63177217387995,""int_tau2"":100.21553736464074,""writhe"":-0.005113907656378588}}"
B6F290645DB32BFCE,G2_PHASE,PASS,0.002110995535618169,0.08,"{""status"":""PASS"",""metric"":0.002110995535618169,""threshold"":0.08,""gauge_residual_rad"":5.134781488891349e-16,""holonomy_n_rad"":-0.031103628834751523,""holonomy_n2_rad"":-0.03321462437036969,""holonomy_conv_rad"":0.002110995535618169,""physical_phase_lock_status"":""UNTESTED"",""phase_lock_residual_rad"":null,""note"":""Static centerlines test candidate geometric phase consistency; they do not measure a physical SST phase clock.""}"
B6F290645DB32BFCE,G3_REDUNDANCY,PASS,3.641054297238338e-18,0.05,"{""status"":""PASS"",""metric"":3.641054297238338e-18,""threshold"":0.05,""details"":{""total_derivative_kappa"":3.641054297238338e-18,""total_derivative_tau"":3.2068260739045797e-18,""ibp_kappa"":0.0,""ibp_tau"":0.0},""operators"":{""O_k2"":47.63177217387995,""O_t2"":100.21553736464074,""O_k4"":53.08923896916986,""O_dk2"":4.607182848023664,""O_dt2"":416.6837811776154,""O_k2t2"":70.29377731854397},""note"":""Total-derivative/IBP gate only; full EOM/field-redefinition redundancy needs an explicit leading SST action.""}"
B6F290645DB32BFCE,G4_DISPERSION,PASS,0.024133835190092594,0.35,"{""status"":""PASS"",""metric"":0.024133835190092594,""threshold"":0.35,""mode_rows"":[{""mode"":2,""n_points"":128,""q_core"":0.1367223689239163,""omega_core"":0.00195746057878989,""omega2_core"":3.831651917516451e-06,""growth_core"":-0.0925263201559153,""frequency_source"":""projected_linear_operator"",""track_omega_core"":-0.047422265642494285,""track_growth_core"":-0.713417199320868,""phase_r2"":0.0022167675523659947,""n_steps"":16,""dt_core"":0.001875,""t_final_core"":0.03,""omega_rad_s"":1.5196629038687112e+18,""frequency_hz"":2.4186186298408912e+17,""linear_eigenvalues"":[[-0.0925263201559153,0.00195746057878989],[-0.0925263201559153,-0.00195746057878989],[0.09427983000308797,0.0],[0.09079736048458165,0.0]],""linear_matrix"":[[-0.09461140743187771,0.003355426047087044,-0.05338698895534179,0.006028033525217978],[-0.002894641121399961,-0.0958060248051106,-0.0018264467749683436,-0.04978200935160123],[0.009120969595585005,0.0008441084345663799,0.0959470397841949,0.0004815324374409534],[0.006409606353998386,0.011097135092063216,0.006410782550000864,0.09449494262863234]]},{""mode"":3,""n_points"":128,""q_core"":0.20508355338587445,""omega_core"":0.03459343779181969,""omega2_core"":0.0011967059382564987,""growth_core"":-0.0010989564291118896,""frequency_source"":""projected_linear_operator"",""track_omega_core"":4.734728620316675,""track_growth_core"":-1.4040037926428761,""phase_r2"":0.4214081855229709,""n_steps"":16,""dt_core"":0.001875,""t_final_core"":0.03,""omega_rad_s"":2.685641013624782e+19,""frequency_hz"":4.274330426887123e+18,""linear_eigenvalues"":[[0.0010931089772026456,0.032773238145130605],[0.0010931089772026456,-0.032773238145130605],[-0.0010989564291118896,0.03459343779181969],[-0.0010989564291118896,-0.03459343779181969]],""linear_matrix"":[[-0.037407997742794026,-0.0077669073320077745,0.0443095064188558,0.007737231319296076],[0.006470061248545072,-0.036708139300264744,-0.0025796373011598636,0.041007652526261484],[-0.05644382729664904,-0.006657335128670303,0.037733099883612356,0.004559833844402104],[0.009205881372154624,-0.06133298239629731,-0.008151937080879619,0.03637134225562798]]},{""mode"":4,""n_points"":128,""q_core"":0.2734447378478326,""omega_core"":0.07849627969796581,""omega2_core"":0.00616166592642128,""growth_core"":0.00014317754190711334,""frequency_source"":""projected_linear_operator"",""track_omega_core"":2.119217736183144,""track_growth_core"":-3.7072335736768394,""phase_r2"":0.7022965845190394,""n_steps"":16,""dt_core"":0.001875,""t_final_core"":0.03,""omega_rad_s"":6.094012091035086e+19,""frequency_hz"":9.698921475500112e+18,""linear_eigenvalues"":[[-0.00012539757162927708,0.07707726467891823],[-0.00012539757162927708,-0.07707726467891823],[0.00014317754190711334,0.07849627969796581],[0.00014317754190711334,-0.07849627969796581]],""linear_matrix"":[[-0.0761356894199041,0.00022551136261962884,-0.1261795927459314,0.0010263511537647661],[-0.0008681900475295939,-0.07500958958724528,0.00029977823160350585,-0.12625259319884702],[0.09305076390291019,0.0006613285537778643,0.07607220451848178,0.0004781811203767769],[0.0012309200346050891,0.09337268438103584,0.0003477288587487728,0.07510863442922341]]}],""dispersion"":{""n_good"":3,""status"":""OK"",""a2"":-0.035609625530361275,""a4"":1.5745294054026489,""rel_rmse"":0.024133835190092594,""r2"":0.9989242275856384},""core_radius_coord_used"":0.5000330476496448,""note"":""Regularized finite-core Biot-Savart closure; not full Euler and not the entire SST canon.""}"
