cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
0,3,0;2;4,oscillatory,-1.164592910985898,0.0,23,-0.997233534239;-0.997233163777;-0.997231508834,1.0041754020331901,1.0041777799915212,False,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
1,3,1;3;5,oscillatory,1.164592910985898,0.0,23,0.997231508834;0.997233163777;0.997233534239,1.0041754020331901,1.0041777799915212,False,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
2,3,6;8;10,oscillatory,-0.9414961810891143,8.837318792722151e-17,23,-0.991393173944;-0.991377623657;-0.991336223723,1.011331999769718,1.011374140679799,False,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
3,3,7;9;11,oscillatory,0.9414961810891143,8.837318792722151e-17,23,0.991336223723;0.991377623657;0.991393173944,1.011331999769718,1.011374140679799,False,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
4,2,12;14,oscillatory,-0.7727764637330741,-1.813628856715367e-17,21,-0.986188120508;-0.986032252537,1.0207286883460083,1.0208143734203021,False,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
5,2,13;15,oscillatory,0.7727764637330741,-1.813628856715367e-17,21,0.986032252537;0.986188120508,1.0207286883460083,1.0208143734203021,False,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
6,1,16,oscillatory,-0.771136866528049,-1.266242692688547e-16,22,-0.98586764006,1.0215157411196114,1.0215157411196114,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
7,1,17,oscillatory,0.771136866528049,-1.266242692688547e-16,22,0.98586764006,1.0215157411196114,1.0215157411196114,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
8,1,18,oscillatory,-0.6614047248080128,-6.858814585396297e-17,19,-0.987125535553,1.0254789660278705,1.0254789660278705,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
9,1,19,oscillatory,0.6614047248080128,-6.858814585396297e-17,19,0.987125535553,1.0254789660278705,1.0254789660278705,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
10,1,20,oscillatory,-0.6555960551288398,-2.110404487814245e-17,19,-0.983653719692,1.0292973174336215,1.0292973174336215,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
11,1,21,oscillatory,0.6555960551288398,-2.110404487814245e-17,19,0.983653719692,1.0292973174336215,1.0292973174336215,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
12,1,22,oscillatory,-0.6465779990367235,-2.6380056097678064e-17,18,-0.984767476877,1.0326768232177772,1.0326768232177772,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
13,1,23,oscillatory,0.6465779990367235,-2.6380056097678064e-17,18,0.984767476877,1.0326768232177772,1.0326768232177772,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
14,1,24,oscillatory,-0.5956356668348486,-1.0552022439071224e-17,18,-0.986582783137,1.0252577357533221,1.0252577357533221,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
15,1,25,oscillatory,0.5956356668348486,-1.0552022439071224e-17,18,0.986582783137,1.0252577357533221,1.0252577357533221,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
16,1,26,oscillatory,-0.5751338017645459,9.496820195164103e-17,17,-0.989538529698,1.026762836888902,1.026762836888902,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
17,1,27,oscillatory,0.5751338017645459,9.496820195164103e-17,17,0.989538529698,1.026762836888902,1.026762836888902,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
18,1,28,oscillatory,-0.548851543104471,0.0,17,-0.971926289913,1.0360486224291559,1.0360486224291559,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
19,1,29,oscillatory,0.548851543104471,0.0,17,0.971926289913,1.0360486224291559,1.0360486224291559,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
20,1,30,oscillatory,-0.5173005135739274,1.1607224682978347e-16,16,-0.986692016563,1.0294156156056455,1.0294156156056455,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
21,1,31,oscillatory,0.5173005135739274,1.1607224682978347e-16,16,0.986692016563,1.0294156156056455,1.0294156156056455,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
22,1,32,oscillatory,-0.48429196694545534,2.1104044878142451e-16,16,-0.96293497642,1.0403275787838717,1.0403275787838717,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
23,1,33,oscillatory,0.48429196694545534,2.1104044878142451e-16,16,0.96293497642,1.0403275787838717,1.0403275787838717,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
24,1,34,oscillatory,-0.4491295051105817,7.386415707349858e-17,15,-0.982134366487,1.0297174949374786,1.0297174949374786,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
25,1,35,oscillatory,0.4491295051105817,7.386415707349858e-17,15,0.982134366487,1.0297174949374786,1.0297174949374786,True,2.2107596499573745,UNDERRESOLVED,frozen_geometry_only
