cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
42,2,82;84,oscillatory,-0.556852838692365,-3.759157993919124e-17,24,-0.999911952593;-0.999911952593,1.0218658910168017,1.0286747958988036,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
43,2,83;85,oscillatory,0.556852838692365,-3.759157993919124e-17,24,0.999911952593;0.999911952593,1.0218658910168017,1.0286747958988036,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
44,2,86;88,oscillatory,-0.5023908704087489,-3.033706451232977e-17,24,-0.999890783936;-0.999890783936,1.0004062486812526,1.0006407605895458,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
45,2,87;89,oscillatory,0.5023908704087489,-3.033706451232977e-17,24,0.999890783936;0.999890783936,1.0004062486812526,1.0006407605895458,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
46,2,90;92,oscillatory,-0.44835610796842457,-3.693207853674929e-17,24,-0.999861649402;-0.999861649402,1.1618766473573747,1.3074039397028183,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
47,2,91;93,oscillatory,0.44835610796842457,-3.693207853674929e-17,24,0.999861649402;0.999861649402,1.1618766473573747,1.3074039397028183,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
48,2,94;96,oscillatory,-0.3951098393528237,5.276011219535612e-18,24,-0.999820417218;-0.999820417218,4.168587091476572,7.3319240141196875,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
49,2,95;97,oscillatory,0.3951098393528237,5.276011219535612e-18,24,0.999820417218;0.999820417218,4.168587091476572,7.3319240141196875,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
50,2,98;100,oscillatory,-0.3430163594089917,-1.319002804883903e-18,23,-0.999760068898;-0.999760068898,1.0061575772823146,1.0062897084011948,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
51,2,99;101,oscillatory,0.3430163594089917,-1.319002804883903e-18,23,0.999760068898;0.999760068898,1.0061575772823146,1.0062897084011948,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
52,2,102;104,oscillatory,-0.2924401362430428,-6.595014024419515e-19,22,-0.99966801299;-0.99966801299,1.008127259591104,1.0098507464475655,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
53,2,103;105,oscillatory,0.2924401362430428,-6.595014024419515e-19,22,0.99966801299;0.99966801299,1.008127259591104,1.0098507464475655,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
