pair_id,candidate_a,candidate_b,geometry_a,geometry_b
P00000,d5f7d73ad6d9b039,907ebccc4dfd6149,geometry/d5f7d73ad6d9b039.npz,geometry/907ebccc4dfd6149.npz
P00001,c9abed792de2cd85,6f7362c5158410cf,geometry/c9abed792de2cd85.npz,geometry/6f7362c5158410cf.npz
P00002,b7881f9854a4c86c,920bfe0bfb7dcb2e,geometry/b7881f9854a4c86c.npz,geometry/920bfe0bfb7dcb2e.npz
P00003,d67c0af6021ef847,49a0e6da444097cc,geometry/d67c0af6021ef847.npz,geometry/49a0e6da444097cc.npz
P00004,26e9711eea40bb6b,bd733076c5f35efb,geometry/26e9711eea40bb6b.npz,geometry/bd733076c5f35efb.npz
P00005,6ff659f5f6303879,1f60c414b7a9be78,geometry/6ff659f5f6303879.npz,geometry/1f60c414b7a9be78.npz
P00006,311290e275f717fa,9c939e3b2db3c496,geometry/311290e275f717fa.npz,geometry/9c939e3b2db3c496.npz
P00007,7e4f5b4573afa3af,f7f291223a41103c,geometry/7e4f5b4573afa3af.npz,geometry/f7f291223a41103c.npz
P00008,674cc9e0d44d135c,9d0e37725cc9eefc,geometry/674cc9e0d44d135c.npz,geometry/9d0e37725cc9eefc.npz
P00009,78f061e783666de5,0a3161346c5282ca,geometry/78f061e783666de5.npz,geometry/0a3161346c5282ca.npz
P00010,7b497341413ecb36,4a1ff0199ee46633,geometry/7b497341413ecb36.npz,geometry/4a1ff0199ee46633.npz
P00011,2bcfdcd79b275cfa,069abcd79615417c,geometry/2bcfdcd79b275cfa.npz,geometry/069abcd79615417c.npz
P00012,d955b1d11de7ae3d,09264fc3eb065b47,geometry/d955b1d11de7ae3d.npz,geometry/09264fc3eb065b47.npz
P00013,e7fd19040aa72d03,3e15e4258c3701bf,geometry/e7fd19040aa72d03.npz,geometry/3e15e4258c3701bf.npz
P00014,c57e464f912f8678,d23ab9f0bf0507d1,geometry/c57e464f912f8678.npz,geometry/d23ab9f0bf0507d1.npz
