q,dU_measured,dU_modelA_a_nominal,dU_modelA_a_eff,dU_selfconsistent,dU_hollow,H0_over_Htarget
2.5,0.005174,0.005371,0.005983,0.005149,0.016114,0.9152
3.5,0.010146,0.010528,0.011726,0.010069,0.031584,0.9152
4.25,0.014976,0.015524,0.017291,0.014827,0.046571,0.9152
5.0,0.020793,0.021486,0.023932,0.020503,0.064458,0.9152

fit dU = k q^2 (through origin): k_meas=8.303957e-04, rms scatter=2.53e-05
k_modelA_nominal=8.594367e-04 (ratio meas/pred=0.966)
k_modelA_a_eff=9.572607e-04 (ratio 0.867)
k_hollow=2.578310e-03 (ratio 0.322)
