link_id,continuum_pass,v040_numerical_spectral_ready,geometry_continuum_pass,hydrodynamic_continuum_pass,spectral_tail_contaminated_risk,max_last_pair_relative_difference,geometry_max_last_pair_relative_difference,hydrodynamic_max_last_pair_relative_difference,spectral_geometry_sample_ns,hydrodynamic_sample_ns,energy_exclusion_arc_D,velocity_exclusion_arc_D
L6a4,True,False,True,True,True,0.01013534741216995,2.4504342103259643e-14,0.01013534741216995,"1024,2048,4096","512,1024,2048",0.2,0.25
L4a1,True,False,True,True,True,0.009929542136691432,1.8406790207871385e-14,0.009929542136691432,"1024,2048,4096","512,1024,2048",0.2,0.25
L6n1,True,False,True,True,True,0.008257342208044945,2.128388663667411e-14,0.008257342208044945,"1024,2048,4096","512,1024,2048",0.2,0.25
L7n2,True,True,True,True,False,0.01476604231262832,2.0112320388627474e-12,0.01476604231262832,"1024,2048,4096","512,1024,2048",0.2,0.25
