n,D,offset_over_D,eps_over_D,channel_phase_rad,gamma_plus,gamma_minus,backend,period_hat,dt_hat,step,shift,recurrence_rms_over_D,plus_rms_over_D,minus_rms_over_D,endpoint_vectorfield_error,pair_min_distance_over_D,segment_max_over_min,accepted
24,1.0,0.65,0.1,0.0,1.0,-1.0,cpp,0.18,0.006,30,0,0.47005920404427604,0.39590226868457234,0.534015640467473,1.1903911728370105,0.3300793448205009,1.6690674125579792,False
24,1.0,0.65,0.05,0.0,1.0,-1.0,cpp,0.18,0.006,30,0,0.4862914066249306,0.40703575505382883,0.5543289262001999,1.2208256149674315,0.2829941858766395,1.6312612291920667,False
24,1.0,0.35,0.1,1.5707963267948966,1.0,-1.0,cpp,0.18,0.006,30,0,0.49628070483301223,0.6180674158816116,0.332538336744096,0.8866824027529777,0.5227271609686153,3.1659554956452114,False
24,1.0,0.35,0.05,1.5707963267948966,1.0,-1.0,cpp,0.18,0.006,30,0,0.5155188159906762,0.6434794719679033,0.342714850038287,0.9397697641849009,0.5156301648516094,3.0780937703047457,False
24,1.0,0.5,0.1,0.0,1.0,-1.0,cpp,0.18,0.006,30,0,0.5256419315095237,0.49834249909632616,0.5515919088570406,1.0688060566264697,0.43647130570720766,1.6826747650123948,False
24,1.0,0.35,0.1,0.0,1.0,-1.0,cpp,0.18,0.006,30,0,0.5434424055514024,0.46816749947853376,0.6094903516340575,1.149700304835574,0.5441756889818293,1.5819709577552445,False
24,1.0,0.5,0.05,0.0,1.0,-1.0,cpp,0.18,0.006,30,0,0.5439352571052406,0.5097714452779318,0.5760765586478389,1.1562088487538051,0.3481192463020814,1.7764858381389137,False
24,1.0,0.35,0.05,0.0,1.0,-1.0,cpp,0.18,0.006,30,0,0.5589109852170858,0.4887895118946279,0.6211664767632574,1.2089225975339588,0.5281367706475534,1.5950153867189059,False
24,1.0,0.65,0.1,1.5707963267948966,1.0,-1.0,cpp,0.18,0.006,30,0,0.6173249685955806,0.8012243712372148,0.3467271847412584,2.023391359705741,0.5310503476168115,3.6560404702115754,False
24,1.0,0.65,0.05,1.5707963267948966,1.0,-1.0,cpp,0.18,0.006,30,0,0.6202126510654433,0.8213464389103652,0.3077620710427337,1.1467620238350462,0.3851998301543273,4.41616425601602,False
24,1.0,0.5,0.1,1.5707963267948966,1.0,-1.0,cpp,0.18,0.006,30,0,0.6262017016389001,0.8335640796281654,0.2990452598262642,1.3919936800797437,0.5630504620448549,9.102675818352523,False
24,1.0,0.5,0.05,1.5707963267948966,1.0,-1.0,cpp,0.18,0.006,30,0,0.6519303378671948,0.8708127246458441,0.30283911480875547,1.3729244677564822,0.5127799592937387,10.10852779603911,False
