lambda_,epsilon,R,v0,Xi_filament,Xi_cavitation,Xi_renormalization,Xi_total,Xi_mass,chi_K,chi_cavitation,chi_renormalization,chi_E_hollow_total,chi_E,E_loop,target_residual,mass_mode,kernel,quadrature_n,target_chi_E,target_xi_E,status,mode_label
1.0,1.0,1.0,0.15915494309189535,0.1965875741860023,0.25,0.0,0.4465875741860023,0.1965875741860023,7.7609663495425965,9.869604401089358,0.0,17.630570750631954,7.7609663495425965,0.1965875741860023,0.23519615769956667,kinetic_only,regularized_circular_filament,1024,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED,kinetic_only
1.0,1.0,1.0,0.15915494309189535,0.1965875741860023,0.25,0.0,0.4465875741860023,0.4465875741860023,7.7609663495425965,9.869604401089358,0.0,17.630570750631954,17.630570750631954,0.4465875741860023,1.805992484494463,kinetic_plus_cavity,regularized_circular_filament,1024,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED,kinetic_plus_cavity
1.0,1.0,1.0,0.15915494309189535,0.1965875741860023,0.25,-0.25,0.4465875741860023,0.1965875741860023,7.7609663495425965,9.869604401089358,-9.869604401089358,17.630570750631954,7.7609663495425965,0.1965875741860023,0.23519615769956667,vacuum_subtracted,regularized_circular_filament,1024,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED,vacuum_subtracted
1.0,1.0,1.0,0.15915494309189535,0.1965875741860023,0.25,-0.287432631094107,0.4465875741860023,0.15915494309189535,7.7609663495425965,9.869604401089358,-11.347385443452369,17.630570750631954,6.283185307179586,0.15915494309189535,0.0,target_renormalized,regularized_circular_filament,1024,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED,target_renormalized
2.75,1.0,2.75,0.15915494309189535,1.5934842216077212,0.6875,0.0,2.280984221607721,1.5934842216077212,62.90823554658406,27.141412102995734,0.0,90.0496476495798,62.90823554658406,1.5934842216077212,9.012156648428133,kinetic_only,regularized_circular_filament,1024,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED,kinetic_only
2.75,1.0,2.75,0.15915494309189535,1.5934842216077212,0.6875,0.0,2.280984221607721,2.280984221607721,62.90823554658406,27.141412102995734,0.0,90.0496476495798,90.0496476495798,2.280984221607721,13.3318465471141,kinetic_plus_cavity,regularized_circular_filament,1024,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED,kinetic_plus_cavity
2.75,1.0,2.75,0.15915494309189535,1.5934842216077212,0.6875,-0.6875,2.280984221607721,1.5934842216077212,62.90823554658406,27.141412102995734,-27.141412102995734,90.0496476495798,62.90823554658406,1.5934842216077212,9.012156648428133,vacuum_subtracted,regularized_circular_filament,1024,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED,vacuum_subtracted
2.75,1.0,2.75,0.15915494309189535,1.5934842216077212,0.6875,-2.121829278515826,2.280984221607721,0.15915494309189535,62.90823554658406,27.141412102995734,-83.76646234240022,90.0496476495798,6.283185307179586,0.15915494309189535,0.0,target_renormalized,regularized_circular_filament,1024,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED,target_renormalized
4.5,1.0,4.5,0.15915494309189535,3.6304262209220557,1.125,0.0,4.755426220922056,3.6304262209220557,143.3234824313701,44.41321980490211,0.0,187.7367022362722,143.3234824313701,3.6304262209220557,21.81064069009697,kinetic_only,regularized_circular_filament,1024,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED,kinetic_only
4.5,1.0,4.5,0.15915494309189535,3.6304262209220557,1.125,0.0,4.755426220922056,4.755426220922056,143.3234824313701,44.41321980490211,0.0,187.7367022362722,187.7367022362722,4.755426220922056,28.879224160674003,kinetic_plus_cavity,regularized_circular_filament,1024,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED,kinetic_plus_cavity
