kernel,kernel_short,mass_mode,mass_mode_short,epsilon,core_constant,quadrature_n,best_lambda,best_chi_E,best_chi_K,best_chi_cavitation,best_chi_renormalization,best_target_residual,best_abs_target_residual,forced_target_mode
regularized_circular_filament,reg,kinetic_only,K,1.0,1.75,1024,1.0,7.760966349542602,7.760966349542602,9.869604401089358,0.0,0.23519615769956753,0.23519615769956753,False
regularized_circular_filament,reg,kinetic_plus_cavity,K+C,1.0,1.75,1024,1.0,17.63057075063196,7.760966349542602,9.869604401089358,0.0,1.8059924844944641,1.8059924844944641,False
