geometry,N_low,N_high,energy_low,energy_high,energy_rel_error,matched_groups,converged_groups,converged_fraction,physical_interpretation_ready
ring,24,32,3.529306457732742e-36,3.2144320736530214e-36,0.08921707079016276,26,4,0.15384615384615385,False
ring,32,48,3.2144320736530214e-36,2.9684827925980587e-36,0.07651407011237765,32,4,0.125,False
ring,48,64,2.9684827925980587e-36,2.889541035188847e-36,0.026593301334288926,50,8,0.16,False
trefoil,24,32,1.526598970121304e-36,1.4941329030749491e-36,0.021266925814691976,48,2,0.041666666666666664,False
trefoil,32,48,1.4941329030749491e-36,1.4706808567707482e-36,0.015696091195057868,64,2,0.03125,False
trefoil,48,64,1.4706808567707482e-36,1.4688854931218741e-36,0.0012207703939359387,96,2,0.020833333333333332,False
