figure_id,compound,panel,source_page,field_mT,time_ns,signal_proxy,digitization_kind
FigS11,1-h9,experimental,32,343.0,800.0,0.04914705827832222,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.013698630137,800.0,0.07112253457307816,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.027397260274,800.0,0.07325474172830582,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.041095890411,800.0,0.07261171191930771,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.05479452054794,800.0,0.07093513756990433,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.06849315068496,800.0,0.06658323854207993,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.0821917808219,800.0,0.06223229318857193,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.09589041095893,800.0,0.006727781146764755,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.1095890410959,800.0,-0.009271400980651379,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.1232876712329,800.0,-0.02435782365500927,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.13698630136986,800.0,-0.06888359785079956,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.1506849315069,800.0,-0.1300140768289566,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.16438356164383,800.0,-0.210137277841568,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.17808219178085,800.0,-0.10575344413518906,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.1917808219178,800.0,-0.02953653410077095,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.2054794520548,800.0,-0.0026084312703460455,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.2191780821918,800.0,-0.002744019962847233,pdf_figure_color_proxy_not_raw
FigS11,1-h9,experimental,32,343.2328767123288,800.0,-0.0047646029852330685,pdf_figure_color_proxy_not_raw
