family,topology_class,seed_kind,seed,seed_sha256,n,rg,length,ds_cv,min_nonlocal_vertex_distance
knot_0.1,0.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_0.1_final.txt,6f89c421965ed6cc2ae690cdf9f6a39f80ca4faeb0d9cbb331d81e47a624c1fc,192,0.5021362057372409,3.154875683697947,1.0192426422453282e-05,0.06568096055496202
knot_10.123,10.123,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_10.123_final.txt,7c3d634f3c6df14908cb935ca7636834488b6afc8d112c85bc7b8a6ad603066c,192,1.8113894184646162,46.10631735613764,0.0011448150091710363,0.9138392046502867
knot_10.1,10.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_10.1_final.txt,f03d7ff827be5b4e6bde2b98aed16b1aeffd00bd89a44f84b5de82fed242477a,192,2.0042933010068817,43.770722538245394,0.0011452024598190677,0.8618389796669562
knot_3.1,3.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_3.1_final.txt,0301d9112581299b98294f80e0bb7d214f9b6de04ab76f587e278fa3f3ee9732,192,1.2393026153611868,16.368953880154567,0.000212364182779847,0.3378428821266728
knot_4.1,4.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_4.1_final.txt,edc6781b9ed771d49631ad89e250aaa22fcd153797b5a23e4949af9bbf4d18f3,192,1.4632927275484335,22.417137041533017,0.000589363787543666,0.4560306273350837
knot_5.1,5.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_5.1_final.txt,d54052906876c24f94e2975ff42a4a73de955b3c6fa66d0c19cf3aff56ab7f6a,192,1.4908755873005746,23.666673471458495,0.00036554812588124585,0.48388296074747356
knot_5.2,5.2,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_5.2_final.txt,97b268e68edccf6878ebbece4f714c4f4dd4037eb21a8599dd65d505e068d1b0,192,1.5883512424734665,25.961090956138882,0.0006640133405270883,0.515686619880023
knot_6.1,6.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.1_final.txt,44e5a96d7022d54c0abc39e9f9dbd08397e526c52000e2f8de8061d6d0f4bf13,192,1.701098460228775,29.557749529716325,0.000820997509195275,0.581111688274961
knot_6.2,6.2,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.2_final.txt,61f2ba7a09821bc3a9de94eb5e44692aa26ee8a4b624d8b34396203c2f20f642,192,1.508955645926722,28.491923623078954,0.0004782661369444739,0.5806152484337683
knot_6.3,6.3,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,192,1.5000591719646166,28.899761491659664,0.0005057701762983671,0.5859506077521695
knot_7.1,7.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_7.1_final.txt,79b66c2d6bb799e8fe933ebcdf41957b275f577a82eec0c770ac55a81461516e,192,1.6520594153454342,30.680589286634756,0.0004752358944068848,0.6222932269232898
knot_7.2,7.2,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_7.2_final.txt,24cb1998ccbef26ac4d8755fb2f845acd0a6f73d7836db2cb1f67926417f3386,192,1.646060905856227,31.90126932516405,0.0006636237968229863,0.6467677953705905
knot_7.3,7.3,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_7.3_final.txt,04e7ec789ef929f30bf24f0937343aaf0cf28a7f34cb1ca53ca2ec9ded05ae58,192,1.6674685218494743,31.93682484378332,0.0007638638466991351,0.6477953358932288
knot_7.4,7.4,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_7.4_final.txt,ffb8021c4db519e46ac7cbf603f745d8d480c633d79b7f4c1e69ca2fc57c5398,192,1.6134982915717337,32.106240776555616,0.0006081226844521545,0.6512162817726067
knot_8.17,8.17,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_8.17_final.txt,26272c74a20e2338c04f0690c8d0294aa19e64e03e7ab3f7598c662ee190358b,192,1.660767984396014,37.39181164288419,0.0008822701931289715,0.7512355028666239
knot_8.18,8.18,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_8.18_final.txt,9836871d37b6abf573047a71c9bfa2ee4c7b83edf8fa84f1ae0ee94e0ddcc5ae,192,1.6268403901372595,37.41491026202409,0.0006824579610294921,0.7530258141681758
knot_8.1,8.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_8.1_final.txt,254f4e6a6972ff14d532cc9fc1bc6ae3f13cde047993a6d51256bbcfd9d0b95a,192,1.8720273084870083,36.78950535135314,0.0011345151938608722,0.7178927512801669
knot_9.1,9.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_9.1_final.txt,7861bfb1a9b29bd6e57229c4349f96dfd59a8b149d91da6b5156426a0fd198ef,192,2.269794194634107,40.117939009969376,0.0008125089346039568,0.8014656875228507
