candidate_id,carrier_id,family,source,source_qualified,condition,gamma_core,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,n_threads,helix_turns,thread_gamma_each,hole_clearance,combined_initial_gap_core,carrier_self_gap_core,bundle_radius,thread_density_proxy,link_matrix_json
CAND_A1EBED8EAF03D739,TORUS_T2_3,torus,"analytic T(2,q)",True,null,1.0,0.0,0.0,total_beta,3,1.0,0.0,0.6702904680841157,4.933396206495043,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016717639698607, 2.001671778743575, 2.001671778895128]]"
CAND_92DA638BC8566590,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.0,-1.0,-1.0,total_beta,3,1.0,-0.3333333333333333,0.6702904680841157,4.933396206495043,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016717639698607, 2.001671778743575, 2.001671778895128]]"
CAND_11C94F5078D708D6,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.0,1.0,1.0,total_beta,3,1.0,0.3333333333333333,0.6702904680841157,4.933396206495043,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016717639698607, 2.001671778743575, 2.001671778895128]]"
CAND_836A2E9808E604D2,TORUS_T2_7,torus,"analytic T(2,q)",True,null,1.0,0.0,0.0,total_beta,3,1.0,0.0,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_D3E3402F57FA71BF,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,-1.0,-1.0,total_beta,3,1.0,-0.3333333333333333,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_5EEC9384AA347174,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,1.0,1.0,total_beta,3,1.0,0.3333333333333333,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_DDCD4A1A9F23A05F,TWIST_4_1,twist,knot.4_1.fseries,True,null,1.0,0.0,0.0,total_beta,3,1.0,0.0,0.2890527391827372,2.7733217000436303,11.240148958984646,0.07700000000000001,11.429236078690773,"[[0.99965824784715, 1.0093760709367536, 0.9983710046900298]]"
CAND_1335DF396F74D09A,TWIST_4_1,twist,knot.4_1.fseries,True,active,1.0,-1.0,-1.0,total_beta,3,1.0,-0.3333333333333333,0.2890527391827372,2.7733217000436303,11.240148958984646,0.07700000000000001,11.429236078690773,"[[0.99965824784715, 1.0093760709367536, 0.9983710046900298]]"
CAND_E0ADEEECBF146B5B,TWIST_4_1,twist,knot.4_1.fseries,True,active,1.0,1.0,1.0,total_beta,3,1.0,0.3333333333333333,0.2890527391827372,2.7733217000436303,11.240148958984646,0.07700000000000001,11.429236078690773,"[[0.99965824784715, 1.0093760709367536, 0.9983710046900298]]"
CAND_57163FE689D478E1,TWIST_5_2,twist,knot.5_2.fseries,True,null,1.0,0.0,0.0,total_beta,3,1.0,0.0,0.30613526274357866,2.773321700043631,11.727161707103486,0.07700000000000001,10.189307457755337,"[[-1.0078374025196604, -1.0082318757251008, -1.0089479701858737]]"
