dataset_key,source_path,structural_status,boost_null_rms_rg,radial_response_rms_rg,director_response_rms_rg,linearity_ratio
D0000,..\..\KnotPlot\knots\final\knot_0.1_final.txt,PASS,5.172880794762823e-16,2.9795606285479132e-05,7.778618084440589e-05,1.9999995345447998
D0001,..\..\KnotPlot\knots\final\knot_10.123_final.txt,PASS,5.132763075410753e-16,2.7547941381595085e-05,7.211267393899698e-05,1.9999998741814546
D0002,..\..\KnotPlot\knots\final\knot_10.1_final.txt,PASS,4.0055098422750297e-16,1.972895646595828e-05,5.3165702017964183e-05,2.000000367850889
D0003,..\..\KnotPlot\knots\final\knot_3.1_final.txt,PASS,2.743069286203399e-16,2.0182780268679225e-05,5.435964415519767e-05,2.0000004768651087
D0004,..\..\KnotPlot\knots\final\knot_4.1_final.txt,PASS,3.6682407239266805e-16,2.6516956266307762e-05,6.800410612958093e-05,1.9999992268847673
D0005,..\..\KnotPlot\knots\final\knot_5.1_final.txt,PASS,3.496048070825811e-16,2.8705329456174338e-05,7.637713851586664e-05,1.999999754478951
D0006,..\..\KnotPlot\knots\final\knot_5.2_final.txt,PASS,3.248217920648213e-16,1.896286442701841e-05,5.059751152294633e-05,2.000000166242575
D0007,..\..\KnotPlot\knots\final\knot_6.1_final.txt,PASS,4.480994246711206e-16,2.4516808327580872e-05,6.309590539447915e-05,1.999996400616662
D0008,..\..\KnotPlot\knots\final\knot_6.2_final.txt,PASS,3.3421597957536985e-16,2.8304752782570927e-05,7.266873426495281e-05,1.9999995666511667
D0009,..\..\KnotPlot\knots\final\knot_6.3_final.txt,PASS,4.556196571856646e-16,2.4383415804060366e-05,6.553451670933362e-05,1.9999996934706252
D0010,..\..\KnotPlot\knots\final\knot_7.1_final.txt,PASS,3.52539732249726e-16,2.434976818199072e-05,6.322303565077282e-05,1.9999983900857217
D0011,..\..\KnotPlot\knots\final\knot_7.2_final.txt,PASS,4.40169462481623e-16,2.9768110623211035e-05,7.730464658368722e-05,1.9999999028334827
D0012,..\..\KnotPlot\knots\final\knot_7.3_final.txt,PASS,4.278941062218469e-16,2.186683703416207e-05,5.844357845802519e-05,2.0000002257697207
D0013,..\..\KnotPlot\knots\final\knot_7.4_final.txt,PASS,2.34013795150308e-16,3.126642889125861e-05,7.938716212265684e-05,1.9999998295991546
D0014,..\..\KnotPlot\knots\final\knot_8.17_final.txt,PASS,2.834081124833687e-16,2.713747976745468e-05,7.121689670042057e-05,1.9999998116345123
D0015,..\..\KnotPlot\knots\final\knot_8.18_final.txt,PASS,5.252137663647609e-16,2.7344640381831196e-05,7.181241109128526e-05,1.99999998333998
D0016,..\..\KnotPlot\knots\final\knot_8.1_final.txt,PASS,5.008829580724464e-16,2.7218091176546076e-05,7.042976432383216e-05,1.99999840530473
D0017,..\..\KnotPlot\knots\final\knot_9.1_final.txt,PASS,5.37837382855217e-16,2.9401126422035345e-05,7.667882316893892e-05,1.9999994474986769
D0018,..\..\KnotPlot\knots\final\knot_9.2_final.txt,PASS,2.408887390917811e-16,2.5231994811270673e-05,6.573237719518573e-05,1.9999970246435255
D0019,..\..\KnotPlot\knots\final\knot_9.35_final.txt,PASS,4.368329735850686e-16,2.6102381726454318e-05,6.893085339578177e-05,1.999999975345612
D0020,..\..\KnotPlot\knots\final\link_0.2.1_final.txt,PASS,6.87581056480247e-16,2.5669582405068025e-05,6.768198224300684e-05,1.9999998815648974
D0021,..\..\KnotPlot\knots\final\link_0.3.1_final.txt,PASS,3.7819673948374537e-16,2.2084959936236776e-05,5.9344035736789314e-05,1.9999950747715556
D0022,..\..\KnotPlot\knots\final\link_2.2.1_final.txt,PASS,6.867261378391693e-16,2.2788956167963077e-05,6.106883136699709e-05,2.000000068765007
D0023,..\..\KnotPlot\knots\final\link_4.2.1_final.txt,PASS,5.712557681902182e-16,2.363876273378461e-05,6.148573668504268e-05,1.9999956596105628
D0024,..\..\KnotPlot\knots\final\link_5.2.1_final.txt,PASS,6.643091103909086e-16,2.4328839332961614e-05,6.438369517718582e-05,1.9999981882195497
D0025,..\..\KnotPlot\knots\final\link_6.2.1_final.txt,PASS,3.6878379318292665e-16,2.859010863570142e-05,7.44396368745647e-05,1.999998502143775
D0026,..\..\KnotPlot\knots\final\link_6.3.1_final.txt,PASS,3.57858439070351e-16,2.426872926864066e-05,6.337560037101608e-05,1.9999978865749182
D0027,..\..\KnotPlot\knots\final\link_6.3.2_final.txt,PASS,6.179523613957263e-16,2.3893622692202458e-05,6.31218756676847e-05,1.9999966961605573
D0028,..\..\KnotPlot\knots\final\link_6.3.3_final.txt,PASS,4.87805375232747e-16,2.766215290363502e-05,7.291459896737449e-05,1.9999999620139886
D0029,..\..\KnotPlot\knots\final\link_7.2.5_final.txt,PASS,5.78678804602327e-16,2.4088688615036812e-05,6.191651004860128e-05,1.9999979447851879
D0030,..\..\KnotPlot\knots\final\link_7.2.6_final.txt,PASS,4.799055578739143e-16,1.8567956009342616e-05,5.036572255998043e-05,2.0000010794952847
D0031,..\..\KnotPlot\knots\final\link_7.2.8_final.txt,PASS,3.147973708033855e-15,2.29006757133294e-05,6.170983993758148e-05,1.9999990434658854
D0032,..\..\KnotPlot\knots\final\link_8.2.1_final.txt,PASS,4.1531861891209525e-16,2.994689234768249e-05,7.728471061277796e-05,1.9999999505250616
D0033,..\..\KnotPlot\knots\final\link_9.2.20_final.txt,PASS,3.8798573477063164e-16,1.8919839277666204e-05,4.9383705873097194e-05,1.9999952698536467
D0034,..\..\KnotPlot\knots\final\link_9.2.40_final.txt,PASS,3.599400604291442e-16,1.8186286340070715e-05,4.948399060201412e-05,2.0000011587002784
D0035,..\..\KnotPlot\knots\final\torus_2.11_final.txt,PASS,3.692398230126457e-16,2.1549380913313424e-05,5.696128412951398e-05,1.999993942741715
D0036,..\..\KnotPlot\knots\final\torus_2.3_final.txt,PASS,3.9371836153969824e-16,2.070871872558344e-05,5.5223795369930396e-05,1.9999984594849896
D0037,..\..\KnotPlot\knots\final\torus_2.4_final.txt,PASS,3.4430966669002654e-16,2.4376829307774547e-05,6.392989125199829e-05,1.9999970390363948
D0038,..\..\KnotPlot\knots\final\torus_2.5_final.txt,PASS,4.006748327451158e-16,2.5588991982111863e-05,6.706491266677968e-05,1.9999972292253032
D0039,..\..\KnotPlot\knots\final\torus_2.6_final.txt,PASS,5.866040851545487e-16,2.625462532883512e-05,6.878931902161634e-05,1.9999974138914582
D0040,..\..\KnotPlot\knots\final\torus_2.7_final.txt,PASS,6.810147807669164e-16,2.9769357090406356e-05,7.755491387731212e-05,1.9999998108322132
D0041,..\..\KnotPlot\knots\final\torus_2.8_final.txt,PASS,4.291453402659931e-16,2.1519991957030336e-05,5.685358319124854e-05,1.999994535236
D0042,..\..\KnotPlot\knots\final\torus_2.9_final.txt,PASS,5.693584074286173e-16,1.8793387864681065e-05,5.1176509700320415e-05,2.0000002749375887
D0043,..\..\KnotPlot\knots\final\torus_3.3_final.txt,PASS,6.194762841754771e-16,2.191843224237638e-05,5.851603108762154e-05,1.9999999484019881
D0044,..\..\KnotPlot\knots\final\torus_3.6_final.txt,PASS,6.470293142812798e-16,2.862435071437056e-05,7.474213005167979e-05,1.999999395808662
D0045,..\..\KnotPlot\knots\final\torus_3.9_final.txt,PASS,5.307711577428257e-16,2.1581423779220746e-05,5.69977913309409e-05,1.9999971867144202
D0046,..\..\KnotPlot\knots\final\torus_6.15_final.txt,PASS,4.321176580526035e-16,2.764388785908184e-05,7.226216326648192e-05,1.9999986702880599
D0047,..\..\KnotPlot\knots\final\torus_6.21_final.txt,PASS,3.4326362211268356e-16,2.0744216155092364e-05,5.503817698846323e-05,1.9999960697599914
D0048,..\..\KnotPlot\knots\final\torus_6.9_final.txt,PASS,3.6411498909795003e-16,2.3649975946534765e-05,6.192235868132846e-05,1.9999976732838354
