axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,log_growth_ratio,neutral_pair,both_valid,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid,closed_delay_valid,lambda_real,lambda_imag,omega_mode,T_mode,group_velocity,tau_loop_group,tau_return_measured,phi_loop,omega_swirl_rms_core,mode_over_swirl_frequency_ratio
-1.0,41bcacf9b1aedbb9,e4c21f6b36475f5f,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,1,P00012,smooth_rankine,SYMMETRIC_CONTROL,0.00907763893028049,0.006785590729586424,1.3377811769413914,0.291012403444261,False,True,0.10449660134537647,0.00024999999999997247,0.2781013619379639,True,True,True,0.00907763893028049,-2.8064539232103383,2.8064539232103383,2.238834300900323,-1.0576288243277867,277.9844761285142,277.91498000948206,0.10449660134537647,1.299188297090765,2.160159485345388
-1.0,01db573cbbe08266,bec5b2a9d2248134,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,2,P00013,smooth_rankine,SYMMETRIC_CONTROL,0.025597895232797287,0.022785768369547862,1.1234158788715203,0.11637393567138503,False,True,0.6992336260792019,0.007500000000000062,0.24080996447111838,True,True,True,0.025597895232797287,-2.7452799434523287,2.7452799434523287,2.288722985124119,-1.0076115141307855,291.7834805835844,293.9718566879613,0.6992336260792019,1.299188297090765,2.113073177767807
-1.0,817d3780d8e36eef,0b8690173efc90cf,TORUS_T2_5,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,2,3,P00014,smooth_rankine,SYMMETRIC_CONTROL,0.03974798765599095,0.0369591608408522,1.0754569637708475,0.07274565383515516,False,True,1.9030950149664994,0.0036249999999999893,0.22237320621554457,True,True,True,0.03974798765599095,-2.5966766903595935,2.5966766903595935,2.4197025877370497,-0.9670583010667998,304.0193071553684,305.12137714380657,1.9030950149664994,1.299188297090765,1.9986915647056371
-0.5,0d0673cf9d5b63c9,7e11c4dd9b04f11d,TORUS_T2_5,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,1,P00015,smooth_rankine,SYMMETRIC_CONTROL,0.007139852780746383,0.00666947302030922,1.070527169647904,0.06815120905985865,False,True,-1.3038141822199159,0.015250000000000208,0.24237457202595258,True,True,True,0.007139852780746383,-2.7854371430086067,2.7854371430086067,2.2557268337396374,-0.4513580954936037,651.3772492496316,661.3107523006886,-1.3038141822199159,1.299188297090765,2.1439826307287064
-0.5,e60047918f8c64c6,b4f99f887d255196,TORUS_T2_5,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,2,2,P00016,smooth_rankine,TIE,0.014053407833317128,0.013814308978918203,1.0173080449904053,0.017159966965206223,False,True,-1.5486617073474624,0.007500000000000062,0.37890508813271345,True,True,True,0.014053407833317128,-2.7450649547884964,2.7450649547884964,2.2889022338867377,-0.4817188821452131,610.3235840785438,614.9010109591329,-1.5486617073474624,1.299188297090765,2.112907698549503
-0.5,5e6c6463c6cfdcc2,15776ed901dccd95,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,3,P00017,smooth_rankine,TIE,0.018643558011105604,0.01884656948525921,0.9892282058761703,-0.010830229915901733,False,True,1.7804974570769547,0.0036250000000002114,0.46477401467207,True,True,True,0.018643558011105604,-2.7001617888879506,2.7001617888879506,2.3269662332964454,-0.48449362877686447,606.8281958865161,609.0279480966049,1.7804974570769547,1.299188297090765,2.078345221346548
0.5,32b1c145d0233ce8,97d02dce67db936b,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,1,P00018,smooth_rankine,TIE,2.20125440115291e-16,4.2361141849304886e-16,1.0,0.0,True,True,2.3476746664054904,0.01912500000000006,0.7273073943558584,True,True,True,2.20125440115291e-16,-2.792687632071559,2.792687632071559,2.249870424111431,0.30168626053890085,974.5369051411136,993.1749234519375,2.3476746664054904,1.299188297090765,2.1495634145759657
0.5,97f98d931e393973,725e80cd2a173a3e,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,2,P00019,smooth_rankine,CLOSED,1.1538528557345238e-16,2.794327007034158e-16,nan,nan,False,False,-0.7693728719885862,0.03124999999999989,0.8910949271777691,True,False,True,1.1538528557345238e-16,-2.365992395394779,2.365992395394779,2.6556236272818627,0.12312620369681362,2387.8296076855704,2313.2099324453966,-0.7693728719885862,1.299188297090765,1.8211312407084312
0.5,135d55226150da68,662ada7b09c38b73,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,3,P00020,smooth_rankine,TIE,2.8343204391396595e-16,4.465725922461122e-16,1.0,0.0,True,True,1.626136277406329,0.01574999999999993,0.8391294977960841,True,True,True,2.8343204391396595e-16,-2.6209140099857717,2.6209140099857717,2.397326002776297,0.13239417122450522,2220.674761962315,2185.699134461409,1.626136277406329,1.299188297090765,2.01734730512483
1.0,f298fcc9b5c65845,f7b390f2d695b615,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,1,P00021,smooth_rankine,INDETERMINATE,2.007307804170884e-16,6.91058564649438e-16,nan,nan,False,False,nan,nan,0.4757820447426538,False,False,False,2.007307804170884e-16,-2.134950821400219,2.134950821400219,2.9430117285131305,0.2697705214692985,nan,nan,nan,1.299188297090765,1.643295914980879
1.0,fa5717794865e42e,4d785a9973519802,TORUS_T2_5,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,2,P00022,smooth_rankine,TIE,1.1954593460071513e-16,2.9470317000814603e-16,1.0,0.0,True,True,-1.70556566416098,0.08162500000000006,0.4119808657179258,True,True,True,1.1954593460071513e-16,-2.6394451549393216,2.6394451549393216,2.3804947397454184,0.32262165703302714,911.2977639907124,836.9130840049704,-1.70556566416098,1.299188297090765,2.031610938037046
1.0,28f23207ee34240d,3d5e791cf0d4dcd0,TORUS_T2_5,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,2,3,P00023,smooth_rankine,TIE,1.1245182413352164e-16,3.377618413762447e-16,1.0,0.0,True,True,-0.6152101402168436,0.038999999999999924,0.5346780872476791,True,True,True,1.1245182413352164e-16,-2.894677393477393,2.894677393477393,2.170599501463463,0.35914179299582305,818.6304139562936,786.7038278119983,-0.6152101402168436,1.299188297090765,2.2280660932363388
-1.0,a6922c5e8411fb93,b5567fdde294983b,TORUS_T2_7,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,1,P00024,gaussian,INDETERMINATE,nan,nan,nan,nan,False,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan
-1.0,0ce2c0716e4fad12,939a016429b7285e,TORUS_T2_7,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,2,2,P00025,gaussian,INDETERMINATE,nan,nan,nan,nan,False,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan
-1.0,a1a1dc75259a0ba7,5182f8c458534df3,TORUS_T2_7,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,2,3,P00026,gaussian,INDETERMINATE,nan,nan,nan,nan,False,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan
