pair_key,topology_key,variant_key,representation,resolutions_json,last_length_relative_change,last_reach_relative_change,last_writhe_absolute_change,convergence_status
10_1/knot.10_1,10_1,10_1,fseries,"[128, 256, 512]",0.0009460074880625256,2.794139992554025e-06,0.10328389662012549,NOT_CONVERGED_AT_REQUESTED_LEVELS
10_1/knot.10_1n,10_1,10_1n,fseries,"[128, 256, 512]",0.0009405141910304938,3.359888622819764e-05,0.1003165085840334,NOT_CONVERGED_AT_REQUESTED_LEVELS
12a_1202/knot.12a_1202,12a_1202,12a_1202,fseries,"[128, 256, 512]",0.0013239090233425463,0.0011635481308946156,0.0513644516784027,NOT_CONVERGED_AT_REQUESTED_LEVELS
12a_1202/knot.12a_1202z6,12a_1202,12a_1202z6,fseries,"[128, 256, 512]",0.0020752029901784834,0.1585376733694719,2.8966791325502543e-14,NOT_CONVERGED_AT_REQUESTED_LEVELS
15331/knot.15331,15331,15331,fseries,"[128, 256, 512]",0.0009528414947972356,0.003783988438522395,4.594911042499526e-15,PASS_DIAGNOSTIC_THRESHOLDS
1_1/knot.1_1,1_1,1_1,fseries,"[128, 256, 512]",1.8824717398898975e-05,1.4883649868154695e-12,0.0,PASS_DIAGNOSTIC_THRESHOLDS
3_1/knot.3_1,3_1,3_1,fseries,"[128, 256, 512]",0.0001557672931672915,3.0968834295955264e-05,0.004481801199564206,PASS_DIAGNOSTIC_THRESHOLDS
3_1/knot.3_1p,3_1,3_1p,fseries,"[128, 256, 512]",0.00017302928804936837,5.5831631494578275e-06,0.0003779435700659306,PASS_DIAGNOSTIC_THRESHOLDS
3_1/knot.3_1u,3_1,3_1u,fseries,"[128, 256, 512]",0.00019747146524807973,0.00011729521815613988,0.00022134308158694438,PASS_DIAGNOSTIC_THRESHOLDS
4_1/knot.4_1,4_1,4_1,fseries,"[128, 256, 512]",0.00024027901610691976,1.638468446828046e-05,0.0005224750527601796,PASS_DIAGNOSTIC_THRESHOLDS
4_1/knot.4_1d,4_1,4_1d,fseries,"[128, 256, 512]",0.0003007985376790919,0.00012832846070140832,0.0012906817274964122,PASS_DIAGNOSTIC_THRESHOLDS
4_1/knot.4_1p,4_1,4_1p,fseries,"[128, 256, 512]",0.00025300889700165084,5.2215226459682855e-05,0.0016309736016031223,PASS_DIAGNOSTIC_THRESHOLDS
4_1/knot.4_1z,4_1,4_1z,fseries,"[128, 256, 512]",0.00020084271948609515,0.000279983819135706,2.5710887041855612e-14,PASS_DIAGNOSTIC_THRESHOLDS
5_1/knot.5_1,5_1,5_1,fseries,"[128, 256, 512]",0.000536228492176235,7.835841224146586e-05,0.04872666052909391,PASS_DIAGNOSTIC_THRESHOLDS
5_1/knot.5_1p,5_1,5_1p,fseries,"[128, 256, 512]",0.0005532453486788342,4.173261544375979e-05,0.008568118943436787,PASS_DIAGNOSTIC_THRESHOLDS
5_1/knot.5_1u,5_1,5_1u,fseries,"[128, 256, 512]",0.0005541889785486786,0.0006400511732478546,0.0032912263511413187,PASS_DIAGNOSTIC_THRESHOLDS
