axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid
-1.5,4d292581840e03c8,ebad1cdf7d5c400b,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,1,1,P00000,gaussian,OFFSET_CONTROL,0.00016778825162358618,0.0,167788251.62358618,2.935851564133292,0.22062500000000007,0.5152884990871005,False,True
-1.5,d76d0fa474c709db,4432b2dd7b4e9476,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,1,2,P00001,gaussian,INDETERMINATE,0.012458477879283645,0.0,12458477879.283646,2.112114848676989,0.3562500000000002,0.3128762512394004,False,False
-1.5,4fe48e0a072b3e53,cdaa0d562d2df0fc,TORUS_T2_3,CLOSED,OFFSET_CONTROL,-0.37,0.05,torus,2,1,P00002,gaussian,INDETERMINATE,nan,nan,nan,nan,nan,nan,False,False
-1.5,e3d70914829c68fd,87ca12dd4d77a8f5,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,2,2,P00003,gaussian,INDETERMINATE,nan,nan,nan,nan,nan,nan,False,False
-1.0,28694abaa52f8838,a164752e13b896ce,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.05,torus,1,1,P00004,gaussian,INDETERMINATE,0.0,0.0,0.0,-2.225357153000324,0.38,0.8127441317375893,False,False
-1.0,122a412fa758d09b,f45cb85e95eef950,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.05,torus,1,2,P00005,gaussian,CLOSED,0.028829028645273876,0.03287588178749354,0.8769051072644036,0.40122525972913864,0.0036249999999999893,0.19240453356584147,True,True
-1.0,24bfacfba466d33b,8ae9865ea40b70b9,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00006,gaussian,INDETERMINATE,0.0,1.0669692428181955e-17,0.0,nan,nan,0.19678976069249973,False,False
-1.0,14198e2178da03e3,8ab06761164d16e7,TORUS_T2_3,CLOSED,OFFSET_CONTROL,-0.37,0.05,torus,2,2,P00007,gaussian,INDETERMINATE,nan,nan,nan,nan,nan,nan,False,False
-0.5,dbcc264bd697cfbb,6451249bbe28a5e3,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,1,1,P00008,gaussian,CLOSED,0.006865959796572387,3.233863761146218e-18,6865959796.572387,-2.79510502716732,0.11262499999999998,0.19492750651646001,True,False
-0.5,865bf06fac1bd1c6,4a9c301a871fdbce,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.05,torus,1,2,P00009,gaussian,CLOSED,0.014959391277196343,0.01691508319807163,0.8843817734755073,1.0481206103401162,0.00749999999999984,0.3793415578117789,True,True
-0.5,55fe16fb79385def,b1713148ed56fa9c,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00010,gaussian,TIE,4.968815060435495e-16,3.4576468804944006e-16,0.0004968815060435495,-2.326677377015448,0.38387499999999997,0.5480369729308624,True,True
-0.5,1daac4f530b5cd55,ac691778e2ab8698,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,2,2,P00011,gaussian,CLOSED,0.021314922995291027,0.024449331631152114,0.8717998232774845,-2.2259544579022976,0.0036249999999999893,0.19443354566530602,True,True
0.5,a6f24396d4e1a284,5347276de93999ae,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,1,1,P00012,gaussian,OFFSET_CONTROL,0.00025596465905603036,0.00047759258270811125,0.5359477268357568,0.24408108114474103,0.13975000000000004,0.11991331271709979,False,True
0.5,70b1f2e76060cafe,cc698cfd9f9ba7c5,TORUS_T2_3,CLOSED,OFFSET_CONTROL,-0.37,0.05,torus,1,2,P00013,gaussian,OFFSET_CONTROL,0.0010491073063994259,0.0007305533073073692,1.4360448387622313,-1.887425362349267,0.27149999999999996,0.1377274151823021,True,True
0.5,5444f40450e841b4,95056ab4335062b1,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00014,gaussian,CLOSED,6.694206803373135e-17,1.843878837913923e-16,6.694206803373136e-05,0.0005218479173921197,0.445875,0.6675402818742683,True,False
0.5,e24a0cd1ddc25feb,20988bbf1a9e0c2a,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,2,2,P00015,gaussian,TIE,2.4230391046005826e-16,2.5916370353246005e-16,0.00024230391046005826,1.8814023966926323,0.027374999999999927,0.6550521810734367,True,True
1.0,06cec45c0c294dfe,bc8b0b0e0cb5d79c,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,1,1,P00016,gaussian,INDETERMINATE,0.0003096668967836193,0.0,309666896.78361934,-0.2564345585587807,0.36787499999999995,0.34390458026785453,False,False
1.0,04fd52aafc61176f,cec1658d6519358f,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,1,2,P00017,gaussian,CLOSED,0.0011676636421382226,0.0015062641382172194,0.7752051001627399,-2.909095781230494,0.32187500000000013,0.3540443761199931,True,True
1.0,668e2b1f817acffe,74ff0931faa89d90,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00018,gaussian,TIE,2.0132023003226783e-16,1.751890248795808e-16,0.00020132023003226784,2.957281286663938,0.3058750000000001,0.2878715711920809,True,True
1.0,1d61ec768e81d195,779311666d4adb17,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.05,torus,2,2,P00019,gaussian,TIE,4.1386990775691265e-16,8.118574277467294e-17,0.00041386990775691264,2.88603402726577,0.09324999999999994,0.31214427356970115,True,True
1.5,be8abd654192b52e,6610651a2d7d4151,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,1,1,P00020,gaussian,CLOSED,0.00040362702163384987,0.0,403627021.63384986,2.657087820734273,0.05062499999999992,0.5047010096594333,True,False
1.5,d7007e11467ed121,e24a1c5ce68c4276,TORUS_T2_3,CLOSED,OFFSET_CONTROL,-0.37,0.05,torus,1,2,P00021,gaussian,OFFSET_CONTROL,0.0012486038989753766,0.0009217597495014704,1.3545871358026627,0.8456306594027354,0.35287499999999994,0.516696996726144,True,True
1.5,16b259a206769602,9fb6be3efebf3d1c,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00022,gaussian,INDETERMINATE,nan,nan,nan,nan,nan,nan,False,False
1.5,b18f03fe7eb3d84f,c90f7c0c024693c4,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,2,2,P00023,gaussian,TIE,1.1775297690026302e-16,4.596126281643879e-18,0.00011775297690026303,2.5231212933075557,0.09325000000000006,0.19471715204718953,True,True
-1.5,351a2b85eab874e5,03f75bebfd47ac9b,TORUS_T2_7,CLOSED,OFFSET_CONTROL,-0.37,0.05,torus,1,1,P00024,gaussian,INDETERMINATE,0.00016610078512036382,0.000168311934677366,0.986862788065263,-0.8227194924684031,0.18962499999999993,0.487777123119737,False,False
-1.5,6be7629078b18891,92953dbcfb28dcb1,TORUS_T2_7,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,1,2,P00025,gaussian,INDETERMINATE,0.0,0.01745990139914178,0.0,-1.3355959124308117,0.23225000000000007,0.5266183921898606,False,False
