pair_id,candidate_a,candidate_b,geometry_a,geometry_b
P00000,e1f0525e7647f2f9,84fc4d7a2d75082f,geometry/e1f0525e7647f2f9.npz,geometry/84fc4d7a2d75082f.npz
P00001,25e0fcee3eeba3cd,cfbdb8a9a6dabddf,geometry/25e0fcee3eeba3cd.npz,geometry/cfbdb8a9a6dabddf.npz
P00002,b6ea316a25b12f32,18a44d9f7468f829,geometry/b6ea316a25b12f32.npz,geometry/18a44d9f7468f829.npz
P00003,6b4aca43407c3467,ecd735037dc93e33,geometry/6b4aca43407c3467.npz,geometry/ecd735037dc93e33.npz
P00004,9236fb007c2f3267,92de94a931c11a4c,geometry/9236fb007c2f3267.npz,geometry/92de94a931c11a4c.npz
P00005,b0b82a8f0f415ea2,769637ca5d8851e0,geometry/b0b82a8f0f415ea2.npz,geometry/769637ca5d8851e0.npz
P00006,fffd1a53d9f7f070,ff7145324da25332,geometry/fffd1a53d9f7f070.npz,geometry/ff7145324da25332.npz
P00007,a30300f842d9ef8e,85ec8105092d42f3,geometry/a30300f842d9ef8e.npz,geometry/85ec8105092d42f3.npz
P00008,ce93c076b08feda3,d29c25838f3d2ae5,geometry/ce93c076b08feda3.npz,geometry/d29c25838f3d2ae5.npz
P00009,0b1eb4fe6567549d,577260178c954a74,geometry/0b1eb4fe6567549d.npz,geometry/577260178c954a74.npz
P00010,40c807d5733d4ab0,e76984ea35cbd53e,geometry/40c807d5733d4ab0.npz,geometry/e76984ea35cbd53e.npz
P00011,c47eb25759de3bd3,d5638fadac454b2a,geometry/c47eb25759de3bd3.npz,geometry/d5638fadac454b2a.npz
P00012,228f6a7a93b0cd04,22b10a61713440fd,geometry/228f6a7a93b0cd04.npz,geometry/22b10a61713440fd.npz
P00013,b2f049fe9b181395,2c34c220e3bb3847,geometry/b2f049fe9b181395.npz,geometry/2c34c220e3bb3847.npz
P00014,8e5a297bb33d20b8,9d78b884d8b1225a,geometry/8e5a297bb33d20b8.npz,geometry/9d78b884d8b1225a.npz
P00015,90e6ef5f82a67d22,456c1cb3a12b140a,geometry/90e6ef5f82a67d22.npz,geometry/456c1cb3a12b140a.npz
P00016,f8445e24079d946f,285aab25ce6db301,geometry/f8445e24079d946f.npz,geometry/285aab25ce6db301.npz
P00017,a5514717a0daa663,6c0b50aef6dadea8,geometry/a5514717a0daa663.npz,geometry/6c0b50aef6dadea8.npz
P00018,a654dd07a90b0dc9,5aa9bc7186bcecb6,geometry/a654dd07a90b0dc9.npz,geometry/5aa9bc7186bcecb6.npz
P00019,e4a95e007a25aa8c,5ce6c1f6d844fe83,geometry/e4a95e007a25aa8c.npz,geometry/5ce6c1f6d844fe83.npz
P00020,070553c92935171d,3a37df3b9ae26fb9,geometry/070553c92935171d.npz,geometry/3a37df3b9ae26fb9.npz
P00021,a18929d3587895e5,bb25f71429ac411d,geometry/a18929d3587895e5.npz,geometry/bb25f71429ac411d.npz
