pair_id,carrier_id,profile,axial_ratio,core_fraction,m,n,both_valid,closed_phase_valid,clock_regime,lambda_real,lambda_imag,omega_mode,T_mode,advective_frequency_mode_weighted,omega_intrinsic,T_intrinsic,group_velocity,tau_loop_group,tau_return_measured,phi_loop,phase_uncertainty_rad,phase_sampling_step_rad,dispersion_omega_rmse,carrier_phase_cycles_at_return,omega_swirl_rms_core,mode_over_swirl_frequency_ratio,intrinsic_over_swirl_frequency_ratio,growth_effect_bounded,log_growth_ratio
P00000,TORUS_T2_3,gaussian,-0.75,0.05,1,1,False,False,SLOW_MODE,9.796211554607037e-05,-0.044516986623023204,0.044516986623023204,141.14129872236367,1.0021995272322453,-0.9576825406092221,6.560822653384271,-0.004464713317174737,nan,nan,nan,nan,nan,nan,nan,1.3167214819603816,0.03380896205683888,0.7273235484723697,nan,nan
P00001,TORUS_T2_3,gaussian,-0.75,0.05,1,2,True,True,FAST_SWIRL_LOCKED,0.01933195289062926,-1.4663540989029002,1.4663540989029002,4.284903156666287,1.4882996065404126,-0.02194550763751235,286.30849698092567,-0.6751915487295415,379.3208510508117,383.99074507888776,-1.1694595329841275,0.00021964278863581554,0.049999999999999996,1.487793897040185e-07,88.18803379125295,1.3167214819603816,1.1136402944681516,0.016666780285865088,0.001344792327766273,0.002689724197405986
P00002,TORUS_T2_3,gaussian,-0.75,0.05,2,1,False,False,OTHER_BRANCH,-1.041567565692794e-18,-2.1106348104759824,2.1106348104759824,2.9769173122671213,2.1958045871294027,-0.08516977665342029,73.77247603627787,0.10068269137822958,2543.776188146122,3389.847579952512,-0.20773781455141593,0.65694302890251,0.05,0.00019379718310939147,1242.0010531546036,1.3167214819603816,1.6029470464274604,0.06468321343600814,nan,nan
P00003,TORUS_T2_3,gaussian,-0.75,0.05,2,2,False,False,OTHER_BRANCH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3167214819603816,nan,nan,nan,nan
P00004,TORUS_T2_3,gaussian,0.75,0.05,1,1,False,False,SLOW_MODE,0.0003018601052243797,-0.04572787758763525,0.04572787758763525,137.4038253828459,1.0249162452093645,-0.9791883676217292,6.416727889078485,-0.0010493473542545083,244070.02299858796,185756.37666880654,-2.338128719998857,1.133221421789215,0.05000000000000001,6.1005785664017766e-06,1360.2309858450533,1.3167214819603816,0.03472858779485694,0.7436564080080769,nan,nan
P00005,TORUS_T2_3,gaussian,0.75,0.05,1,2,True,False,SLOW_MODE,0.0011197545522896072,-0.055406637588070205,0.055406637588070205,113.40131039701353,1.040733879849931,-0.9853272422618609,6.376749812332668,-0.0005302355705700749,483019.7125610563,448833.16226203484,-1.4831211599766554,0.0011412533357406736,0.05,2.4456152935656472e-09,4030.2991015326365,1.3167214819603816,0.042079238735878176,0.7483186503457593,0.0003252437852620039,0.0006510628861850418
P00006,TORUS_T2_3,gaussian,0.75,0.05,2,1,True,True,OTHER_BRANCH,1.4836374138843202e-16,-2.129703306649762,2.129703306649762,2.950263206880056,2.2405543660519465,-0.1093728493693793,57.44739524852011,0.056590526492229995,4525.743949768171,2857.517860840199,2.571764008930788,0.0024096248326348794,0.05,8.361074087913383e-07,968.5637044777653,1.3167214819603816,1.6174288456803974,0.08306452873127058,0.0,0.0
P00007,TORUS_T2_3,gaussian,0.75,0.05,2,2,True,True,OTHER_BRANCH,1.7654847863528723e-16,-2.625539282569526,2.625539282569526,2.393102761361257,2.723801597181378,-0.11483657993240692,54.71414518682012,0.30597194533790073,837.0513597368052,730.3451281660828,-1.0904009352480166,0.0004770718191004463,0.05,4.922743413328948e-07,305.1875330880668,1.3167214819603816,1.9939974539342442,0.08721402476204318,0.0,0.0
P00008,TWIST_5_2,gaussian,-0.75,0.05,1,1,False,False,OTHER_BRANCH,0.0,-0.9656872478062701,0.9656872478062701,6.506439141091441,1.2676048948414615,-0.3019176470351914,20.810924332777475,-0.010929278883492023,nan,nan,nan,nan,nan,nan,nan,1.3167214819603816,0.7334028198343971,0.2292949960728868,nan,nan
P00009,TWIST_5_2,gaussian,-0.75,0.05,1,2,True,True,FAST_SWIRL_LOCKED,0.016503054523065126,-1.5105283900913777,1.5105283900913777,4.1595943170584775,1.5240435520672457,-0.014901646908558996,421.64368446891194,-0.6747279759868595,473.04645811422176,480.0367945497387,1.8945702631128882,0.0002715428495840122,0.05,1.1831704752880232e-07,110.70475857262339,1.3167214819603816,1.1471889923466954,0.011317235355173894,0.06725067728966878,0.13471332463039284
P00010,TWIST_5_2,gaussian,-0.75,0.05,2,1,False,True,OTHER_BRANCH,5.003557629160989e-18,-2.1097693407119755,2.1097693407119755,2.978138503548082,2.1981048843159505,-0.09161566068973759,68.58200071773759,0.17785362728455603,1794.6087696063394,1558.3156727743421,-2.8431952139621743,0.19308370475753867,0.05,0.00012390521637260394,528.402075121159,1.3167214819603816,1.602289754983625,0.06957861776002693,nan,nan
